Player,Pos,FG%,3P%,2P%,eFG%,PS/G
Robert Covington,SF,0.396,0.374,0.426,0.506,13.5
Allen Crabbe,SG,0.412,0.353,0.485,0.51,3.3
Jamal Crawford,SG,0.396,0.327,0.448,0.467,15.8
Jae Crowder,SF,0.42,0.293,0.499,0.476,7.7
Dante Cunningham,PF,0.457,0.1,0.468,0.459,5.2
Jared Cunningham,SG,0.364,0.308,0.4,0.424,1.8
Seth Curry,PG,0,0,0,0,0
Stephen Curry,PG,0.487,0.443,0.528,0.594,23.8
Samuel Dalembert,C,0.438,,0.438,0.438,4
Troy Daniels,SG,0.37,0.364,0.383,0.5,3.7
Luigi Datome,SF,0.483,0.45,0.51,0.584,5
Brandon Davies,PF,0.401,0.235,0.456,0.431,5.3
Anthony Davis,PF,0.535,0.083,0.54,0.536,24.4
Ed Davis,PF,0.601,,0.601,0.601,8.3
Glen Davis,PF,0.459,0,0.466,0.459,4
Andre Dawkins,SG,0.167,0.167,,0.25,0.8
Austin Daye,SF,0.355,0.338,0.371,0.44,3.8
Dewayne Dedmon,C,0.562,0,0.565,0.562,3.7
Matthew Dellavedova,SG,0.362,0.407,0.307,0.472,4.8
Luol Deng,SF,0.469,0.355,0.513,0.518,14
DeMar DeRozan,SG,0.413,0.284,0.426,0.426,20.1
Boris Diaw,PF,0.46,0.32,0.512,0.503,8.7
Gorgui Dieng,C,0.506,0.167,0.51,0.507,9.7
Spencer Dinwiddie,PG,0.302,0.185,0.375,0.337,4.3
Joey Dorsey,PF,0.552,0,0.556,0.552,2.7
Toney Douglas,SG,0.373,0.278,0.424,0.422,4.3
Chris Douglas-Roberts,SG,0.238,0.143,0.286,0.262,1.6
Goran Dragic,SG-PG,0.501,0.347,0.555,0.546,16.3
Zoran Dragic,SG,0.367,0.214,0.5,0.417,1.8
Larry Drew,PG,0.345,0.154,0.5,0.379,3.8
Andre Drummond,C,0.514,0,0.515,0.514,13.8
Jared Dudley,SG,0.468,0.385,0.537,0.556,7.2
Tim Duncan,C,0.512,0.286,0.514,0.513,13.9
Mike Dunleavy,SF,0.435,0.407,0.468,0.546,9.4
Kevin Durant,SF,0.51,0.403,0.565,0.578,25.4
Cleanthony Early,SF,0.355,0.262,0.415,0.407,5.4
Wayne Ellington,SG,0.412,0.37,0.439,0.485,10
Monta Ellis,SG,0.445,0.285,0.487,0.475,18.9
James Ennis,SF,0.409,0.326,0.461,0.472,5
Tyler Ennis,PG,0.361,0.279,0.396,0.403,3.7
Jeremy Evans,SF,0.552,0.4,0.566,0.569,2.4
Reggie Evans,PF,0.423,0,0.43,0.423,3.7
Tyreke Evans,SG,0.447,0.304,0.482,0.477,16.6
Dante Exum,PG,0.349,0.314,0.408,0.448,4.8
Festus Ezeli,C,0.547,,0.547,0.547,4.4
Kenneth Faried,PF,0.507,0.125,0.511,0.507,12.6
Jordan Farmar,PG,0.386,0.361,0.426,0.497,4.6
Derrick Favors,PF,0.525,0.167,0.527,0.526,16
Raymond Felton,PG,0.406,0.294,0.458,0.453,3.7
Landry Fields,SF,0.488,0.5,0.487,0.5,1.8
Evan Fournier,SG,0.44,0.378,0.48,0.514,12
Randy Foye,SG,0.368,0.357,0.388,0.485,8.7
Jamaal Franklin,SG,0.5,0.5,,0.75,1
Tim Frazier,PG,0.344,0.294,0.364,0.385,5.2
Jimmer Fredette,PG,0.38,0.188,0.458,0.407,3.6
Joel Freeland,C,0.49,,0.49,0.49,3.5
Channing Frye,PF,0.392,0.393,0.39,0.532,7.3
Danilo Gallinari,SF,0.401,0.355,0.453,0.496,12.4
Langston Galloway,PG,0.399,0.352,0.424,0.46,11.8
Francisco Garcia,SF,0.27,0.222,0.389,0.349,3.2
Kevin Garnett,PF,0.467,0.143,0.475,0.469,6.9
Marc Gasol,C,0.494,0.176,0.5,0.496,17.4
Pau Gasol,PF,0.494,0.462,0.495,0.5,18.5
Rudy Gay,SF,0.455,0.359,0.479,0.491,21.1
Alonzo Gee,SF,0.468,0.371,0.49,0.503,4.5
Paul George,SF,0.367,0.409,0.333,0.459,8.8
Taj Gibson,PF,0.502,,0.502,0.502,10.3
Manu Ginobili,SG,0.426,0.345,0.489,0.502,10.5
Rudy Gobert,C,0.604,0,0.607,0.604,8.4
