Player,Pos,FG%,3P%,2P%,eFG%,PS/G
Charlie Villanueva,PF,0.414,0.376,0.475,0.529,6.3
Noah Vonleh,PF,0.395,0.385,0.397,0.428,3.3
Nikola Vucevic,C,0.523,0.333,0.524,0.524,19.3
Dwyane Wade,SG,0.47,0.284,0.489,0.483,21.5
Dion Waiters,SG,0.396,0.297,0.431,0.435,11.8
Henry Walker,SF,0.345,0.341,0.361,0.479,7.3
Kemba Walker,PG,0.385,0.304,0.418,0.429,17.3
John Wall,PG,0.445,0.3,0.478,0.473,17.6
Gerald Wallace,SF,0.412,0.333,0.419,0.426,1.1
T.J. Warren,SF,0.528,0.238,0.56,0.54,6.1
C.J. Watson,PG,0.434,0.4,0.459,0.518,10
David Wear,PF,0,0,0,0,0
Travis Wear,SF,0.402,0.367,0.408,0.428,3.9
Martell Webster,SF,0.264,0.233,0.292,0.319,3.3
David West,PF,0.471,0.2,0.479,0.474,11.7
Russell Westbrook,PG,0.426,0.299,0.457,0.455,28.1
Hassan Whiteside,C,0.628,,0.628,0.628,11.8
Shayne Whittington,PF,0.452,0.167,0.5,0.464,2.9
Andrew Wiggins,SF,0.437,0.31,0.453,0.454,16.9
C.J. Wilcox,SG,0.421,0.368,0.474,0.513,2
Deron Williams,PG,0.387,0.367,0.395,0.443,13
Derrick Williams,PF,0.447,0.314,0.511,0.498,8.3
Elliot Williams,SG,0.378,0.444,0.316,0.486,2.8
Lou Williams,SG,0.404,0.34,0.464,0.486,15.5
Marvin Williams,PF,0.424,0.358,0.5,0.52,7.4
Mo Williams,PG,0.397,0.342,0.434,0.466,14.2
Reggie Williams,SF,0.385,0.158,0.6,0.423,1.9
Shawne Williams,SF,0.403,0.36,0.467,0.51,5.4
Jeff Withey,C,0.5,,0.5,0.5,2.6
Nate Wolters,PG,0.351,0,0.4,0.351,2
Brandan Wright,PF,0.642,0,0.647,0.642,7.3
Dorell Wright,SF,0.379,0.38,0.378,0.487,4.6
Tony Wroten,PG,0.403,0.261,0.473,0.446,16.9
James Young,SG,0.353,0.258,0.528,0.436,3.4
Nick Young,SG,0.366,0.369,0.363,0.453,13.4
Thaddeus Young,PF,0.466,0.33,0.484,0.486,14.1
Cody Zeller,C,0.461,1,0.46,0.462,7.6
Tyler Zeller,C,0.549,,0.549,0.549,10.2
